PROMSHR,PROMPLEDG,FORPROM,Market.Capitalisation,EPS,P.E,P.B,BVS,Beta,TA,Alpha,PBDITAINC,PBTINC,PATINC,CASHPRFINC,PBDITAMARG,OPMARG,OPRFINCOS,PBPTEQ,ROE,RONW,CASHROE,PBPTCE,ROCE,PATCE,PBPTTA,ROTA,PATTA,QR,CR,DE,CASHCL,CASHCOS,TURNOVER,NAT,PVT,FORGN,OTHERS,Target
67.15,0,21.85,1187918.46,40.51,15.45,4.3,145.62,0.77,533022.5,0.42,40.53,23.63,22.42,31.4,39.61,39.61,2182.07,35.04,32.12,32.35,45.3,26.99,24.74,24.91,17.63,16.16,16.28,0.54,0.55,0.28,0.22,36.55,340142.9,2,3,3,0,0
67.83,0,22.39,1184449.64,25,12.48,3.22,96.73,0.7,613388,0.19,41.37,28.79,25.59,35.36,39.66,39.66,963.56,34.09,29.5,29.28,40.47,28.46,24.62,24.44,19.15,16.56,16.45,0.69,0.69,0.14,0.28,18.29,356095,10,3,1,0,0
68.29,0,22.8,1357617.01,19.9,17.96,3.08,116.15,0.68,796311,0.14,36.59,22.66,20.04,30.73,35.83,35.83,4224.55,21.99,18.72,19.11,29.31,18.18,15.47,15.8,12.61,10.73,10.96,0.43,0.47,0.27,0.01,1.69,380177,3,2,0,0,0
68.5,0.52,22.8,1278818.26,15.36,21.92,2.65,127.1,0.68,796311,0.14,34.87,16.51,13.56,28.05,33.98,33.98,1334.12,15.8,12.3,12.27,25.38,12.24,9.52,9.51,8.7,6.77,6.76,0.48,0.52,0.31,0.04,5.27,416038,7,2,1,0,0
68.55,0,22.8,1108119.28,14.74,19.8,2.07,140.72,0.67,901466,-0.06,32.84,13.85,10.88,26.29,30.73,30.73,489.54,13.27,9.86,9.86,23.83,10.32,7.67,7.67,7.24,5.38,5.38,0.53,0.55,0.26,0.05,3.47,453509,8,2,2,0,0
65.32,0,21.66,1274770.89,16.63,19.18,1.91,166.92,0.71,1120348,-0.12,34.91,16.61,12.85,27.92,34.15,34.15,1260.59,15.03,11.03,10.86,23.59,12.48,9.16,9.02,8.58,6.3,6.19,0.56,0.57,0.16,0.03,4.52,499185,9,2,2,0,0
65.37,0,21.66,1574575.9,32.97,11.95,2.01,195.8,0.73,1438861,0.05,41.69,25.88,21.84,34,36.2,36.2,321.1,22.35,18.24,18.38,28.61,18.31,14.94,15.05,12.65,10.32,10.4,0.67,0.69,0.28,0.14,3.76,554964,6,3,1,0,0
66.75,0,21.66,1402687.7,19.33,18.16,1.26,279.5,0.72,1922537,-0.03,38.71,16.59,12.52,29.62,36.92,36.92,682.09,11.29,8.14,8.2,19.4,8.34,6.02,6.06,6.38,4.6,4.63,0.24,0.28,0.41,0,0.85,603003,2,0,0,0,0
64.18,0,67.23,21815.57,63.4,8.1,1.95,263.05,0.81,35376,0.66,16.93,9.02,6.59,10.99,15.95,16.04,2398.02,25.95,18.29,20.5,34.23,5.87,4.14,4.64,5.02,3.54,3.96,0.35,0.58,3.11,0.01,1.57,30178.6,2,0,0,0,1
64.18,0,52.02,28150.22,94.74,7,1.73,382.68,0.97,88085.5,0.81,20.63,10.87,8.2,13.1,17.75,18.71,788.77,25.7,18.67,21.57,34.45,5.95,4.33,5,5.25,3.81,4.41,0.3,0.58,3.46,0.03,10.92,38734.9,2,0,0,0,1
